"product_type";"avg_discount_percentage"
"Mounts";73.0
"Adapters";65.0
"RemoteControls";60.8780487804878
"HDMICables";59.857142857142854
"USBCables";59.513698630136986
"TVWall&CeilingMounts";58.25
"DVICables";55.0
"SatelliteReceivers";53.0
"StandardTelevisions";52.6
"RCACables";50.5
"SpeakerCables";50.0
"OpticalCables";46.333333333333336
"WirelessUSBAdapters";46.07692307692308
"TowerSpeakers";43.0
"SmartTelevisions";38.714285714285715
"AVReceivers&Amplifiers";36.0
"StreamingClients";0.0
